22	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000
28	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000
54	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000
80	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000
105	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000
127	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000
153	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000
179	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000
201	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000
228	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000
252	0.135	0.030	0.115	0.049	-0.511	-0.010	0.858	0.099	-0.070	0.453
279	0.135	0.030	0.115	0.049	-0.511	-0.010	0.858	0.099	-0.070	0.453
303	0.135	0.030	0.115	0.049	-0.511	-0.010	0.858	0.099	-0.070	0.453
328	0.135	0.030	0.115	0.049	-0.511	-0.010	0.858	0.099	-0.070	0.453
355	0.135	0.030	0.115	0.049	-0.511	-0.010	0.858	0.099	-0.070	0.453
379	0.135	0.030	0.115	0.049	-0.511	-0.010	0.858	0.099	-0.070	0.453
404	0.135	0.030	0.115	0.049	-0.511	-0.010	0.858	0.099	-0.070	0.453
430	0.135	0.030	0.115	0.049	-0.511	-0.010	0.858	0.099	-0.070	0.453
456	0.135	0.030	0.115	0.049	-0.511	-0.010	0.858	0.099	-0.070	0.453
480	0.135	0.030	0.115	0.049	-0.511	-0.010	0.858	0.099	-0.070	0.453
505	0.135	0.030	0.115	0.049	-0.511	-0.010	0.858	0.099	-0.070	0.453
531	0.135	0.030	0.115	0.049	-0.511	-0.010	0.858	0.099	-0.070	0.453
556	0.135	0.030	0.115	0.049	-0.511	-0.010	0.858	0.099	-0.070	0.453
582	0.135	0.030	0.115	0.049	-0.511	-0.010	0.858	0.099	-0.070	0.453
606	0.135	0.030	0.115	0.049	-0.511	-0.010	0.858	0.099	-0.070	0.453
631	0.135	0.030	0.115	0.049	-0.511	-0.010	0.858	0.099	-0.070	0.453
656	0.135	0.030	0.115	0.049	-0.511	-0.010	0.858	0.099	-0.070	0.453
682	0.135	0.030	0.115	0.049	-0.511	-0.010	0.858	0.099	-0.070	0.453
707	0.135	0.030	0.115	0.049	-0.511	-0.010	0.858	0.099	-0.070	0.453
731	0.135	0.030	0.115	0.049	-0.511	-0.010	0.858	0.099	-0.070	0.453
755	0.135	0.030	0.115	0.049	-0.511	-0.010	0.858	0.099	-0.070	0.453
781	0.135	0.030	0.115	0.049	-0.511	-0.010	0.858	0.099	-0.070	0.453
806	0.135	0.030	0.115	0.049	-0.511	-0.010	0.858	0.099	-0.070	0.453
831	0.135	0.030	0.115	0.049	-0.511	-0.010	0.858	0.099	-0.070	0.453
856	0.135	0.030	0.115	0.049	-0.511	-0.010	0.858	0.099	-0.070	0.453
881	0.135	0.030	0.115	0.049	-0.511	-0.010	0.858	0.099	-0.070	0.453
906	0.135	0.030	0.115	0.049	-0.511	-0.010	0.858	0.099	-0.070	0.453
931	0.135	0.030	0.115	0.049	-0.511	-0.010	0.858	0.099	-0.070	0.453
956	0.135	0.030	0.115	0.049	-0.511	-0.010	0.858	0.099	-0.070	0.453
981	0.135	0.030	0.115	0.049	-0.511	-0.010	0.858	0.099	-0.070	0.453
1006	0.135	0.030	0.115	0.049	-0.511	-0.010	0.858	0.099	-0.070	0.453
1031	0.135	0.030	0.115	0.049	-0.511	-0.010	0.858	0.099	-0.070	0.453
1056	0.135	0.030	0.115	0.049	-0.511	-0.010	0.858	0.099	-0.070	0.453
1083	0.135	0.030	0.115	0.049	-0.511	-0.010	0.858	0.099	-0.070	0.453
1106	0.135	0.030	0.115	0.049	-0.511	-0.010	0.858	0.099	-0.070	0.453
1132	0.135	0.030	0.115	0.049	-0.511	-0.010	0.858	0.099	-0.070	0.453
1157	0.135	0.030	0.115	0.049	-0.511	-0.010	0.858	0.099	-0.070	0.453
1183	0.135	0.030	0.115	0.049	-0.511	-0.010	0.858	0.099	-0.070	0.453
1209	0.135	0.030	0.115	0.049	-0.511	-0.010	0.858	0.099	-0.070	0.453
1234	0.135	0.030	0.115	0.049	-0.511	-0.010	0.858	0.099	-0.070	0.453
1260	0.135	0.030	0.115	0.049	-0.511	-0.010	0.858	0.099	-0.070	0.453
1284	0.135	0.030	0.115	0.049	-0.511	-0.010	0.858	0.099	-0.070	0.453
1309	0.135	0.030	0.115	0.049	-0.511	-0.010	0.858	0.099	-0.070	0.453
1335	0.135	0.030	0.115	0.049	-0.511	-0.010	0.858	0.099	-0.070	0.453
1359	0.135	0.030	0.115	0.049	-0.511	-0.010	0.858	0.099	-0.070	0.453
1384	0.135	0.030	0.115	0.049	-0.511	-0.010	0.858	0.099	-0.070	0.453
1409	0.135	0.030	0.115	0.049	-0.511	-0.010	0.858	0.099	-0.070	0.453
1434	0.135	0.030	0.115	0.049	-0.511	-0.010	0.858	0.099	-0.070	0.453
1458	0.135	0.030	0.115	0.049	-0.511	-0.010	0.858	0.099	-0.070	0.453
1484	0.135	0.030	0.115	0.049	-0.511	-0.010	0.858	0.099	-0.070	0.453
1508	0.135	0.030	0.115	0.049	-0.511	-0.010	0.858	0.099	-0.070	0.453
1536	0.135	0.030	0.115	0.049	-0.511	-0.010	0.858	0.099	-0.070	0.453
