2245	0.068	0.030	0.071	0.038	-0.033	0.029	0.998
2269	0.068	0.030	0.071	0.038	-0.033	0.029	0.998
2295	0.068	0.030	0.071	0.037	-0.033	0.030	0.998
2320	0.068	0.030	0.071	0.037	-0.033	0.030	0.998
2346	0.068	0.030	0.071	0.037	-0.033	0.029	0.998
2370	0.068	0.030	0.071	0.038	-0.033	0.029	0.998
2394	0.068	0.030	0.071	0.038	-0.033	0.030	0.998
2419	0.068	0.030	0.071	0.037	-0.033	0.030	0.998
2444	0.068	0.030	0.072	0.039	-0.033	0.030	0.998
2470	0.068	0.030	0.072	0.038	-0.034	0.030	0.998
2495	0.068	0.030	0.071	0.037	-0.034	0.030	0.998
2521	0.068	0.030	0.071	0.037	-0.034	0.030	0.998
2546	0.068	0.030	0.072	0.039	-0.036	0.029	0.998
2571	0.067	0.029	0.073	0.045	-0.048	0.026	0.998
2597	0.066	0.028	0.075	0.056	-0.063	0.021	0.996
2621	0.067	0.027	0.077	0.065	-0.077	0.016	0.995
2647	0.068	0.027	0.079	0.074	-0.091	0.009	0.993
2672	0.070	0.027	0.079	0.082	-0.096	0.002	0.992
2698	0.072	0.028	0.080	0.088	-0.099	-0.000	0.991
2722	0.073	0.031	0.081	0.086	-0.107	0.004	0.991
2748	0.073	0.033	0.082	0.083	-0.119	0.010	0.989
2772	0.074	0.033	0.083	0.089	-0.128	0.009	0.988
2797	0.075	0.034	0.083	0.088	-0.138	0.013	0.986
2823	0.075	0.035	0.084	0.088	-0.150	0.019	0.985
2847	0.076	0.036	0.085	0.089	-0.163	0.023	0.982
2873	0.077	0.037	0.085	0.086	-0.173	0.025	0.981
2898	0.078	0.037	0.085	0.081	-0.179	0.026	0.980
2924	0.080	0.037	0.085	0.081	-0.183	0.023	0.980
2950	0.082	0.037	0.085	0.077	-0.188	0.023	0.979
2976	0.083	0.037	0.085	0.078	-0.194	0.022	0.978
3001	0.084	0.036	0.085	0.081	-0.201	0.022	0.976
3026	0.084	0.036	0.085	0.083	-0.211	0.023	0.974
3053	0.085	0.036	0.086	0.085	-0.219	0.023	0.972
3077	0.086	0.036	0.087	0.090	-0.229	0.025	0.969
3103	0.087	0.036	0.088	0.090	-0.240	0.025	0.966
3130	0.087	0.036	0.088	0.086	-0.255	0.021	0.963
3153	0.088	0.036	0.089	0.088	-0.263	0.023	0.961
3179	0.090	0.037	0.089	0.089	-0.272	0.025	0.958
3204	0.091	0.037	0.090	0.090	-0.279	0.027	0.956
3228	0.092	0.037	0.090	0.091	-0.288	0.026	0.953
3254	0.093	0.037	0.091	0.090	-0.296	0.027	0.950
3281	0.095	0.037	0.091	0.086	-0.306	0.025	0.948
3304	0.096	0.037	0.092	0.088	-0.309	0.027	0.947
3329	0.099	0.037	0.092	0.089	-0.305	0.027	0.948
3355	0.102	0.037	0.092	0.089	-0.299	0.026	0.950
3380	0.103	0.037	0.092	0.089	-0.297	0.026	0.950
3405	0.104	0.038	0.092	0.089	-0.296	0.026	0.951
3430	0.104	0.038	0.092	0.089	-0.296	0.026	0.951
3455	0.104	0.038	0.092	0.089	-0.296	0.026	0.951
3481	0.105	0.038	0.092	0.088	-0.297	0.025	0.951
3505	0.105	0.038	0.092	0.088	-0.297	0.025	0.951
3530	0.105	0.038	0.092	0.088	-0.297	0.025	0.951
3556	0.105	0.038	0.092	0.088	-0.297	0.025	0.951
3581	0.105	0.037	0.092	0.088	-0.297	0.025	0.951
3606	0.105	0.038	0.092	0.088	-0.297	0.025	0.951
3632	0.105	0.038	0.092	0.088	-0.297	0.025	0.950
3656	0.105	0.037	0.092	0.088	-0.297	0.025	0.950
3681	0.105	0.038	0.092	0.088	-0.297	0.025	0.950
3706	0.105	0.038	0.092	0.088	-0.297	0.025	0.950
3731	0.105	0.037	0.092	0.088	-0.297	0.025	0.950
3757	0.105	0.037	0.092	0.088	-0.297	0.025	0.950
3783	0.105	0.037	0.092	0.088	-0.297	0.025	0.950
3809	0.105	0.037	0.092	0.088	-0.297	0.025	0.950
3835	0.105	0.037	0.092	0.088	-0.297	0.024	0.950
3860	0.105	0.037	0.092	0.088	-0.297	0.024	0.950
3886	0.105	0.037	0.092	0.088	-0.297	0.024	0.950
3910	0.105	0.037	0.092	0.088	-0.297	0.024	0.950
3935	0.105	0.037	0.092	0.088	-0.297	0.024	0.950
3960	0.105	0.037	0.092	0.088	-0.297	0.024	0.950
3986	0.105	0.037	0.092	0.088	-0.297	0.024	0.950
4012	0.105	0.037	0.092	0.088	-0.297	0.024	0.950
4036	0.105	0.037	0.092	0.088	-0.297	0.024	0.951
4062	0.105	0.037	0.092	0.088	-0.297	0.024	0.951
4088	0.105	0.037	0.092	0.088	-0.297	0.024	0.951
4113	0.105	0.037	0.092	0.088	-0.297	0.024	0.950
4138	0.105	0.037	0.092	0.088	-0.297	0.024	0.950
4164	0.105	0.037	0.092	0.088	-0.297	0.024	0.950
4188	0.105	0.037	0.092	0.088	-0.297	0.024	0.951
4214	0.105	0.037	0.092	0.088	-0.297	0.024	0.950
4238	0.105	0.037	0.092	0.088	-0.297	0.024	0.950
4264	0.105	0.037	0.092	0.088	-0.297	0.024	0.950
4290	0.105	0.037	0.092	0.088	-0.297	0.024	0.950
4315	0.105	0.037	0.092	0.088	-0.297	0.024	0.9
