22	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000
28	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000
54	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000
79	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000
105	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000
131	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000
156	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000
180	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000
205	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000
230	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000
255	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000
282	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000
305	0.070	0.033	0.074	0.056	-0.000	-0.017	0.998	97.420	-49.856	37.261	0.194	-0.066	0.036
330	0.070	0.033	0.074	0.056	-0.000	-0.017	0.998	-36.682	-5.131	-36.661	-0.173	-0.243	-0.027
356	0.070	0.033	0.074	0.056	-0.000	-0.017	0.998	17.774	17.765	-48.707	-0.052	0.118	-0.090
381	0.070	0.033	0.074	0.056	-0.000	-0.017	0.998	24.634	30.340	-0.003	0.011	0.301	-0.147
406	0.070	0.033	0.074	0.056	-0.000	-0.017	0.998	-67.028	6.298	23.516	-0.109	-0.066	-0.090
431	0.070	0.033	0.074	0.056	-0.000	-0.017	0.998	-54.418	17.180	-43.010	-0.230	0.118	0.093
456	0.070	0.033	0.074	0.056	-0.000	-0.017	0.998	-85.354	30.963	-36.656	-0.172	0.061	-0.211
481	0.070	0.033	0.074	0.056	-0.000	-0.017	0.998	-6.289	-17.752	-42.963	0.011	0.061	-0.274
505	0.070	0.033	0.074	0.056	-0.000	-0.017	0.998	-73.336	61.292	36.081	-0.109	0.244	0.093
531	0.070	0.033	0.074	0.056	-0.000	-0.017	0.998	29.757	12.604	97.975	0.131	-0.002	0.218
556	0.070	0.033	0.074	0.056	-0.000	-0.017	0.998	-24.642	-79.069	30.930	-0.052	-0.306	0.035
582	0.070	0.033	0.074	0.056	-0.000	-0.017	0.998	49.278	-30.913	24.056	0.258	-0.002	-0.029
607	0.070	0.033	0.074	0.056	-0.000	-0.017	0.998	-60.138	6.287	-67.598	-0.229	-0.065	-0.212
632	0.070	0.033	0.074	0.056	-0.000	-0.017	0.998	-24.657	61.879	12.603	-0.052	0.061	-0.028
657	0.070	0.033	0.074	0.056	-0.000	-0.017	0.998	24.626	6.337	61.874	-0.051	-0.122	0.155
684	0.070	0.033	0.074	0.056	-0.000	-0.017	0.998	-80.221	61.290	-24.051	0.012	0.182	-0.149
707	0.070	0.033	0.074	0.056	-0.000	-0.017	0.998	17.746	5.718	55.568	0.012	0.181	0.218
732	0.070	0.033	0.074	0.056	-0.000	-0.017	0.998	42.399	-5.706	-0.559	0.075	-0.002	0.092
757	0.070	0.033	0.074	0.056	-0.000	-0.017	0.998	42.394	-5.743	-42.980	0.195	0.302	-0.091
781	0.070	0.033	0.074	0.056	-0.000	-0.017	0.998	-12.041	30.354	-48.131	0.075	0.182	0.035
808	0.070	0.033	0.074	0.056	-0.000	-0.017	0.998	-12.031	-72.775	-68.173	0.075	-0.122	-0.091
832	0.070	0.033	0.074	0.056	-0.000	-0.017	0.998	43.531	60.165	-79.079	0.012	-0.002	-0.211
858	0.070	0.033	0.074	0.056	-0.000	-0.017	0.998	-18.907	12.017	30.947	0.012	0.118	-0.028
883	0.070	0.033	0.074	0.056	-0.000	-0.017	0.998	72.757	-73.353	12.614	0.132	0.118	0.035
908	0.070	0.033	0.074	0.056	-0.000	-0.017	0.998	12.605	12.018	-30.920	0.012	0.181	-0.274
933	0.070	0.033	0.074	0.056	-0.000	-0.017	0.998	0.563	-25.210	36.659	0.075	-0.066	0.093
960	0.070	0.033	0.074	0.056	-0.000	-0.017	0.998	-36.645	5.720	-73.350	-0.171	0.060	-0.028
983	0.070	0.033	0.074	0.056	-0.000	-0.017	0.998	-108.874	-49.284	-61.304	-0.229	-0.066	-0.092
